product_id,product_name,category,subcategory,brand,price,cost,stock_quantity,supplier
2001,Smartphones Plus,Electronics,Smartphones,Smartphones,56126.39,43577.78,93,Mega Suppliers
2002,Smartphones Lite,Electronics,Smartphones,Smartphones,128795.98,98773.25,91,Prime Products
2003,Smartphones Lite,Electronics,Smartphones,Smartphones,78554.85,65172.81,152,Tech Supplies India
2004,Smartphones Plus,Electronics,Smartphones,Smartphones,99751.22,76701.53,36,Fashion Hub Pvt Ltd
2005,Smartphones Ultra,Electronics,Smartphones,Smartphones,83063.7,66020.68,91,Tech Supplies India
2006,Smartphones Pro,Electronics,Smartphones,Smartphones,30173.1,23326.89,86,Smart Solutions Ltd
2007,Smartphones Lite,Electronics,Smartphones,Smartphones,44279.43,32829.98,79,Prime Products
2008,Smartphones Lite,Electronics,Smartphones,Smartphones,125257.65,95308.81,129,Tech Supplies India
2009,Smartphones Plus,Electronics,Smartphones,Smartphones,51957.28,42260.36,137,Fashion Hub Pvt Ltd
2010,Smartphones Pro,Electronics,Smartphones,Smartphones,84476.38,60096.77,37,Smart Solutions Ltd
2011,Smartphones Max,Electronics,Smartphones,Smartphones,113055.4,91295.3,185,Elite Electronics
2012,Smartphones Plus,Electronics,Smartphones,Smartphones,124955.36,96159.1,170,Mega Suppliers
2013,Smartphones Ultra,Electronics,Smartphones,Smartphones,146078.5,118488.39,115,Home Essentials Co
2014,Smartphones Ultra,Electronics,Smartphones,Smartphones,135228.92,108689.14,82,Fashion Hub Pvt Ltd
2015,Smartphones Lite,Electronics,Smartphones,Smartphones,125793.36,105105.7,46,Kitchen World
2016,Smartphones Ultra,Electronics,Smartphones,Smartphones,78362.1,64902.97,50,Elite Electronics
2017,Smartphones Plus,Electronics,Smartphones,Smartphones,47374.57,38616.06,182,Kitchen World
2018,Smartphones Plus,Electronics,Smartphones,Smartphones,101986.37,80525.97,183,Tech Supplies India
2019,Smartphones Ultra,Electronics,Smartphones,Smartphones,93360.18,75423.59,141,Prime Products
2020,Smartphones Pro,Electronics,Smartphones,Smartphones,126204.23,100286.54,115,Kitchen World
2021,Smartphones Max,Electronics,Smartphones,Smartphones,11805.7,8298.89,144,Elite Electronics
2022,Smartphones Pro,Electronics,Smartphones,Smartphones,118223.69,87406.14,58,Prime Products
2023,Smartphones Max,Electronics,Smartphones,Smartphones,144538.47,113919.82,47,Home Essentials Co
2024,Smartphones Lite,Electronics,Smartphones,Smartphones,96942.68,73056.64,134,Home Essentials Co
2025,Smartphones Plus,Electronics,Smartphones,Smartphones,15421.8,11641.98,185,Home Essentials Co
2026,Smartphones Plus,Electronics,Smartphones,Smartphones,128880.15,92238.34,140,Style Distributors
2027,Smartphones Lite,Electronics,Smartphones,Smartphones,58440.9,43720.08,186,Mega Suppliers
2028,Smartphones Plus,Electronics,Smartphones,Smartphones,137579.94,111975.61,89,Elite Electronics
2029,Smartphones Ultra,Electronics,Smartphones,Smartphones,51708.2,40114.85,54,Home Essentials Co
2030,Smartphones Pro,Electronics,Smartphones,Smartphones,34246.78,24236.21,38,Tech Supplies India
2031,Smartphones Ultra,Electronics,Smartphones,Smartphones,49545.0,38923.81,30,Prime Products
2032,Smartphones Max,Electronics,Smartphones,Smartphones,61390.76,44413.62,35,Fashion Hub Pvt Ltd
2033,Smartphones Plus,Electronics,Smartphones,Smartphones,80923.81,61737.26,179,Mega Suppliers
2034,Laptops Ultra,Electronics,Laptops,Laptops,115306.66,88309.7,115,Tech Supplies India
2035,Laptops Pro,Electronics,Laptops,Laptops,79489.88,67462.85,50,Kitchen World
2036,Laptops Ultra,Electronics,Laptops,Laptops,93463.87,79303.83,69,Home Essentials Co
2037,Laptops Pro,Electronics,Laptops,Laptops,60575.91,42412.86,108,Tech Supplies India
2038,Laptops Ultra,Electronics,Laptops,Laptops,109890.67,83323.52,180,Fashion Hub Pvt Ltd
2039,Laptops Plus,Electronics,Laptops,Laptops,111950.95,87095.09,89,Kitchen World
2040,Laptops Max,Electronics,Laptops,Laptops,45654.98,33670.86,87,Fashion Hub Pvt Ltd
2041,Laptops Pro,Electronics,Laptops,Laptops,111020.04,78167.87,28,Home Essentials Co
2042,Laptops Pro,Electronics,Laptops,Laptops,76088.04,57544.97,123,Tech Supplies India
2043,Laptops Plus,Electronics,Laptops,Laptops,30555.24,25007.06,56,Elite Electronics
2044,Laptops Max,Electronics,Laptops,Laptops,34176.17,25782.04,198,Prime Products
2045,Laptops Plus,Electronics,Laptops,Laptops,36837.85,27865.85,171,Home Essentials Co
2046,Laptops Lite,Electronics,Laptops,Laptops,63735.71,47839.93,130,Kitchen World
2047,Laptops Max,Electronics,Laptops,Laptops,32658.43,24186.56,74,Style Distributors
2048,Laptops Max,Electronics,Laptops,Laptops,42052.05,32560.46,31,Style Distributors
2049,Laptops Max,Electronics,Laptops,Laptops,32473.62,26067.3,136,Prime Products
2050,Laptops Max,Electronics,Laptops,Laptops,40767.09,31969.7,84,Kitchen World
2051,Laptops Lite,Electronics,Laptops,Laptops,78809.07,63841.72,144,Style Distributors
2052,Laptops Max,Electronics,Laptops,Laptops,76370.03,58012.65,41,Prime Products
2053,Laptops Ultra,Electronics,Laptops,Laptops,118525.49,95252.18,140,Smart Solutions Ltd
2054,Laptops Ultra,Electronics,Laptops,Laptops,115764.81,96760.14,152,Tech Supplies India
2055,Laptops Pro,Electronics,Laptops,Laptops,34863.96,28622.69,28,Kitchen World
2056,Laptops Max,Electronics,Laptops,Laptops,90268.77,71048.76,73,Smart Solutions Ltd
2057,Laptops Max,Electronics,Laptops,Laptops,59590.44,50339.49,57,Elite Electronics
2058,Laptops Ultra,Electronics,Laptops,Laptops,71910.69,50814.64,93,Smart Solutions Ltd
2059,Laptops Pro,Electronics,Laptops,Laptops,62765.63,46215.79,67,Style Distributors
2060,Laptops Plus,Electronics,Laptops,Laptops,77274.65,61156.62,160,Style Distributors
2061,Laptops Ultra,Electronics,Laptops,Laptops,28291.12,23386.45,63,Mega Suppliers
2062,Laptops Pro,Electronics,Laptops,Laptops,62621.58,50819.67,103,Style Distributors
2063,Laptops Max,Electronics,Laptops,Laptops,69372.89,51137.86,188,Prime Products
2064,Laptops Pro,Electronics,Laptops,Laptops,37566.09,31299.74,96,Mega Suppliers
2065,Laptops Pro,Electronics,Laptops,Laptops,95420.05,75563.0,28,Style Distributors
2066,Laptops Ultra,Electronics,Laptops,Laptops,88592.29,62982.83,58,Mega Suppliers
2067,Tablets Plus,Electronics,Tablets,Tablets,28447.64,20265.57,31,Style Distributors
2068,Tablets Max,Electronics,Tablets,Tablets,44249.71,36728.63,62,Mega Suppliers
